filename,label,npy_path
a0001,1,./processed_spectrograms\a0001.npy
a0002,1,./processed_spectrograms\a0002.npy
a0003,1,./processed_spectrograms\a0003.npy
a0004,1,./processed_spectrograms\a0004.npy
a0005,1,./processed_spectrograms\a0005.npy
a0006,1,./processed_spectrograms\a0006.npy
a0007,-1,./processed_spectrograms\a0007.npy
a0008,1,./processed_spectrograms\a0008.npy
a0009,-1,./processed_spectrograms\a0009.npy
a0010,1,./processed_spectrograms\a0010.npy
a0011,-1,./processed_spectrograms\a0011.npy
a0012,-1,./processed_spectrograms\a0012.npy
a0013,1,./processed_spectrograms\a0013.npy
a0014,1,./processed_spectrograms\a0014.npy
a0015,1,./processed_spectrograms\a0015.npy
a0016,-1,./processed_spectrograms\a0016.npy
a0017,1,./processed_spectrograms\a0017.npy
a0018,1,./processed_spectrograms\a0018.npy
a0019,-1,./processed_spectrograms\a0019.npy
a0020,1,./processed_spectrograms\a0020.npy
a0021,1,./processed_spectrograms\a0021.npy
a0022,1,./processed_spectrograms\a0022.npy
a0023,1,./processed_spectrograms\a0023.npy
a0024,1,./processed_spectrograms\a0024.npy
a0025,-1,./processed_spectrograms\a0025.npy
a0026,1,./processed_spectrograms\a0026.npy
a0027,-1,./processed_spectrograms\a0027.npy
a0028,-1,./processed_spectrograms\a0028.npy
a0029,-1,./processed_spectrograms\a0029.npy
a0030,1,./processed_spectrograms\a0030.npy
a0031,1,./processed_spectrograms\a0031.npy
a0032,-1,./processed_spectrograms\a0032.npy
a0033,1,./processed_spectrograms\a0033.npy
a0034,1,./processed_spectrograms\a0034.npy
a0035,-1,./processed_spectrograms\a0035.npy
a0036,1,./processed_spectrograms\a0036.npy
a0037,1,./processed_spectrograms\a0037.npy
a0038,-1,./processed_spectrograms\a0038.npy
a0039,1,./processed_spectrograms\a0039.npy
a0040,1,./processed_spectrograms\a0040.npy
a0041,1,./processed_spectrograms\a0041.npy
a0042,1,./processed_spectrograms\a0042.npy
a0043,1,./processed_spectrograms\a0043.npy
a0044,1,./processed_spectrograms\a0044.npy
a0045,1,./processed_spectrograms\a0045.npy
a0046,1,./processed_spectrograms\a0046.npy
a0047,1,./processed_spectrograms\a0047.npy
a0048,1,./processed_spectrograms\a0048.npy
a0049,-1,./processed_spectrograms\a0049.npy
a0050,-1,./processed_spectrograms\a0050.npy
a0051,1,./processed_spectrograms\a0051.npy
a0052,1,./processed_spectrograms\a0052.npy
a0053,-1,./processed_spectrograms\a0053.npy
a0054,1,./processed_spectrograms\a0054.npy
a0055,-1,./processed_spectrograms\a0055.npy
a0056,1,./processed_spectrograms\a0056.npy
a0057,1,./processed_spectrograms\a0057.npy
a0058,1,./processed_spectrograms\a0058.npy
a0059,1,./processed_spectrograms\a0059.npy
a0060,1,./processed_spectrograms\a0060.npy
a0061,1,./processed_spectrograms\a0061.npy
a0062,1,./processed_spectrograms\a0062.npy
a0063,1,./processed_spectrograms\a0063.npy
a0064,1,./processed_spectrograms\a0064.npy
a0065,1,./processed_spectrograms\a0065.npy
a0066,1,./processed_spectrograms\a0066.npy
a0067,1,./processed_spectrograms\a0067.npy
a0068,-1,./processed_spectrograms\a0068.npy
a0069,-1,./processed_spectrograms\a0069.npy
a0070,-1,./processed_spectrograms\a0070.npy
a0071,-1,./processed_spectrograms\a0071.npy
a0072,1,./processed_spectrograms\a0072.npy
a0073,1,./processed_spectrograms\a0073.npy
a0074,1,./processed_spectrograms\a0074.npy
a0075,1,./processed_spectrograms\a0075.npy
a0076,1,./processed_spectrograms\a0076.npy
a0077,1,./processed_spectrograms\a0077.npy
a0078,1,./processed_spectrograms\a0078.npy
a0079,1,./processed_spectrograms\a0079.npy
a0080,-1,./processed_spectrograms\a0080.npy
a0081,-1,./processed_spectrograms\a0081.npy
a0082,1,./processed_spectrograms\a0082.npy
a0083,1,./processed_spectrograms\a0083.npy
a0084,1,./processed_spectrograms\a0084.npy
a0085,-1,./processed_spectrograms\a0085.npy
a0086,-1,./processed_spectrograms\a0086.npy
a0087,1,./processed_spectrograms\a0087.npy
a0088,-1,./processed_spectrograms\a0088.npy
a0089,1,./processed_spectrograms\a0089.npy
a0090,1,./processed_spectrograms\a0090.npy
a0091,-1,./processed_spectrograms\a0091.npy
a0092,1,./processed_spectrograms\a0092.npy
a0093,-1,./processed_spectrograms\a0093.npy
a0094,-1,./processed_spectrograms\a0094.npy
a0095,1,./processed_spectrograms\a0095.npy
a0096,1,./processed_spectrograms\a0096.npy
a0097,1,./processed_spectrograms\a0097.npy
a0098,1,./processed_spectrograms\a0098.npy
a0099,1,./processed_spectrograms\a0099.npy
a0100,1,./processed_spectrograms\a0100.npy
a0101,1,./processed_spectrograms\a0101.npy
a0102,-1,./processed_spectrograms\a0102.npy
a0103,1,./processed_spectrograms\a0103.npy
a0104,1,./processed_spectrograms\a0104.npy
a0105,-1,./processed_spectrograms\a0105.npy
a0106,-1,./processed_spectrograms\a0106.npy
a0107,1,./processed_spectrograms\a0107.npy
a0108,-1,./processed_spectrograms\a0108.npy
a0109,-1,./processed_spectrograms\a0109.npy
a0110,1,./processed_spectrograms\a0110.npy
a0111,1,./processed_spectrograms\a0111.npy
a0112,1,./processed_spectrograms\a0112.npy
a0113,1,./processed_spectrograms\a0113.npy
a0114,1,./processed_spectrograms\a0114.npy
a0115,1,./processed_spectrograms\a0115.npy
a0116,1,./processed_spectrograms\a0116.npy
a0117,1,./processed_spectrograms\a0117.npy
a0118,-1,./processed_spectrograms\a0118.npy
a0119,1,./processed_spectrograms\a0119.npy
a0120,1,./processed_spectrograms\a0120.npy
a0121,1,./processed_spectrograms\a0121.npy
a0122,1,./processed_spectrograms\a0122.npy
a0123,1,./processed_spectrograms\a0123.npy
a0124,1,./processed_spectrograms\a0124.npy
a0125,-1,./processed_spectrograms\a0125.npy
a0126,1,./processed_spectrograms\a0126.npy
a0127,-1,./processed_spectrograms\a0127.npy
a0128,1,./processed_spectrograms\a0128.npy
a0129,-1,./processed_spectrograms\a0129.npy
a0130,1,./processed_spectrograms\a0130.npy
a0131,1,./processed_spectrograms\a0131.npy
a0132,1,./processed_spectrograms\a0132.npy
a0133,1,./processed_spectrograms\a0133.npy
a0134,1,./processed_spectrograms\a0134.npy
a0135,1,./processed_spectrograms\a0135.npy
a0136,-1,./processed_spectrograms\a0136.npy
a0137,1,./processed_spectrograms\a0137.npy
a0138,1,./processed_spectrograms\a0138.npy
a0139,-1,./processed_spectrograms\a0139.npy
a0140,-1,./processed_spectrograms\a0140.npy
a0141,-1,./processed_spectrograms\a0141.npy
a0142,1,./processed_spectrograms\a0142.npy
a0143,1,./processed_spectrograms\a0143.npy
a0144,1,./processed_spectrograms\a0144.npy
a0145,1,./processed_spectrograms\a0145.npy
a0146,1,./processed_spectrograms\a0146.npy
a0147,1,./processed_spectrograms\a0147.npy
a0148,1,./processed_spectrograms\a0148.npy
a0149,1,./processed_spectrograms\a0149.npy
a0150,1,./processed_spectrograms\a0150.npy
a0151,1,./processed_spectrograms\a0151.npy
a0152,1,./processed_spectrograms\a0152.npy
a0153,-1,./processed_spectrograms\a0153.npy
a0154,-1,./processed_spectrograms\a0154.npy
a0155,-1,./processed_spectrograms\a0155.npy
a0156,1,./processed_spectrograms\a0156.npy
a0157,1,./processed_spectrograms\a0157.npy
a0158,1,./processed_spectrograms\a0158.npy
a0159,1,./processed_spectrograms\a0159.npy
a0160,1,./processed_spectrograms\a0160.npy
a0161,-1,./processed_spectrograms\a0161.npy
a0162,1,./processed_spectrograms\a0162.npy
a0163,1,./processed_spectrograms\a0163.npy
a0164,1,./processed_spectrograms\a0164.npy
a0165,-1,./processed_spectrograms\a0165.npy
a0166,1,./processed_spectrograms\a0166.npy
a0167,1,./processed_spectrograms\a0167.npy
a0168,1,./processed_spectrograms\a0168.npy
a0169,1,./processed_spectrograms\a0169.npy
a0170,1,./processed_spectrograms\a0170.npy
a0171,-1,./processed_spectrograms\a0171.npy
a0172,1,./processed_spectrograms\a0172.npy
a0173,1,./processed_spectrograms\a0173.npy
a0174,1,./processed_spectrograms\a0174.npy
